type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,4
0,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,4
0,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,5
0,6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,3
0,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,1
0,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,3
1,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,4
0,7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,4
0,6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4,4
0,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,5
1,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,4
0,7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,4
0,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,3
0,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,4
0,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,4
1,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,3
1,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,4
0,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,4
0,7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,3
0,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,5
1,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,3
1,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,3
0,6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,3
0,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,4
1,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,4
0,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,4
0,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,5
0,6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,4
0,7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,4
0,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,7
0,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,3
0,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,2
0,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,3
0,7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,5
0,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,3
1,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,2
0,6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,5
0,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,2
1,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,5
0,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,3
1,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,4
1,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,3
0,6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,5
0,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,2
1,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,3
0,7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,4
0,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,4
0,6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,4
0,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,5
0,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,2
0,6.6,0.19,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,4
1,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,3
1,8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,3
1,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,3
0,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,4
0,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,4
0,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,3
1,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,3
0,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,5
1,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,3
1,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,4
0,5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,3
0,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,3
1,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,3
0,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,3
0,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,4
0,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,3
0,6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,3
0,7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,4
0,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,5
0,7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,4
1,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,6
1,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,4
0,6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,3
1,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,4
0,6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,4
0,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,3
0,7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,4
0,5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,4
0,6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,4
0,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,3
0,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,5
0,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,3
0,6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,4
0,6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,4
0,6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,3
0,7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,5
0,6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,4
0,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,3
0,6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,3
1,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,4
0,6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,4
0,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,4
