type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-1,-0.603305785,-0.784810127,-0.662650602,-0.874233129,-0.906976744,-0.736111111,-0.414746544,-0.76903798,0.069767442,-0.730337079,-0.188405797,5
1,-0.008264463,-0.620253165,-0.530120482,-0.966257669,-0.823920266,-0.986111111,-0.986175115,-0.703489493,-0.348837209,-0.606741573,0.014492754,5
-1,-0.438016529,-0.746835443,-0.265060241,-0.521472393,-0.887043189,-0.909722222,-0.552995392,-0.553113553,-0.472868217,-0.842696629,-0.652173913,4
-1,-0.371900826,-0.151898734,-0.831325301,-0.972392638,-0.784053156,-0.833333333,-0.253456221,-0.74590322,-0.488372093,-0.674157303,-0.623188406,3
-1,-0.421487603,-0.772151899,-0.21686747,-0.975460123,-0.877076412,-0.8125,-0.304147465,-0.71120108,-0.054263566,-0.550561798,-0.594202899,4
1,-0.173553719,-0.493670886,-0.518072289,-0.950920245,-0.76744186,-0.875,-0.788018433,-0.580104106,0.11627907,-0.528089888,-0.652173913,3
-1,-0.47107438,-0.784810127,-0.626506024,-0.871165644,-0.916943522,-0.770833333,-0.419354839,-0.718912666,-0.007751938,-0.707865169,-0.536231884,5
-1,-0.636363636,-0.721518987,-0.698795181,-0.67791411,-0.843853821,-0.229166667,-0.211981567,-0.65336418,-0.441860465,-0.842696629,-0.594202899,4
1,-0.371900826,-0.35443038,-0.710843373,-0.944785276,-0.727574751,-0.951388889,-0.852534562,-0.580104106,0.162790698,-0.505617978,-0.536231884,4
-1,-0.487603306,-0.632911392,-0.614457831,-0.840490798,-0.897009967,-0.895833333,-0.511520737,-0.772893773,-0.503875969,-0.595505618,-0.072463768,3
-1,-0.752066116,-0.791139241,-0.710843373,-0.984662577,-0.860465116,-0.833333333,-0.543778802,-0.79217274,-0.069767442,-0.719101124,-0.68115942,3
-1,-0.355371901,-0.455696203,-0.554216867,-0.711656442,-0.468438538,-0.854166667,-0.059907834,-0.58935801,-0.534883721,-0.528089888,-0.565217391,3
-1,-0.768595041,-0.696202532,-0.457831325,-0.901840491,-0.940199336,-0.861111111,-0.437788018,-0.811451706,0.286821705,-0.696629213,-0.072463768,6
-1,-0.338842975,-0.670886076,-0.108433735,-0.788343558,-0.88372093,-0.597222222,-0.290322581,-0.657219973,-0.224806202,-0.528089888,-0.420289855,4
-1,-0.454545455,-0.443037975,-0.674698795,-0.760736196,-0.840531561,-0.590277778,-0.290322581,-0.789473684,-0.317829457,-0.842696629,0.101449275,4
-1,-0.388429752,-0.784810127,-0.144578313,-0.656441718,-0.903654485,-0.645833333,-0.34562212,-0.579718527,-0.519379845,-0.730337079,-0.739130435,3
1,-0.438016529,-0.215189873,-0.987951807,-0.947852761,-0.813953488,-0.951388889,-0.815668203,-0.760555234,-0.069767442,-0.674157303,0.101449275,4
1,-0.338842975,-0.329113924,-0.987951807,-0.969325153,-0.774086379,-0.986111111,-0.940092166,-0.695777906,-0.317829457,-0.730337079,-0.47826087,3
-1,-0.520661157,-0.658227848,-0.698795181,-0.773006135,-0.853820598,-0.631944444,-0.096774194,-0.65336418,-0.224806202,-0.764044944,-0.623188406,3
-1,-0.553719008,-0.64556962,-0.662650602,-0.757668712,-0.873754153,-0.631944444,-0.059907834,-0.649508386,-0.426356589,-0.640449438,-0.739130435,2
-1,-0.619834711,-0.670886076,-0.698795181,-0.929447853,-0.873754153,1,1,-0.767495662,0.11627907,-0.528089888,-0.275362319,1
-1,-0.636363636,-0.696202532,-0.674698795,-0.960122699,-0.870431894,-0.729166667,-0.244239631,-0.742047426,0.426356589,-0.640449438,-0.420289855,5
-1,-0.355371901,-0.64556962,-0.710843373,-0.944785276,-0.88372093,-0.805555556,-0.304147465,-0.768266821,-0.147286822,-0.617977528,-0.246376812,4
-1,-0.454545455,-0.797468354,-0.56626506,-0.690184049,-0.88372093,-0.868055556,-0.612903226,-0.661075766,-0.317829457,-0.752808989,-0.15942029,5
-1,-0.355371901,-0.569620253,-0.662650602,-0.680981595,-0.897009967,-0.791666667,-0.488479263,-0.574320416,-0.147286822,-0.921348315,-0.652173913,4
1,-0.355371901,0.221518987,-0.879518072,-0.95398773,-0.657807309,-0.930555556,-0.926267281,-0.645652593,-0.162790698,-0.685393258,-0.565217391,3
-1,-0.404958678,-0.759493671,-0.638554217,-0.975460123,-0.840531561,-0.777777778,-0.405529954,-0.772893773,-0.379844961,-0.685393258,-0.536231884,4
1,0.123966942,0.291139241,-0.481927711,-0.929447853,-0.777408638,-0.826388889,-0.622119816,-0.564680933,-0.441860465,-0.606741573,-0.391304348,4
-1,-0.603305785,-0.607594937,-0.746987952,-0.825153374,-0.893687708,-0.659722222,-0.023041475,-0.730480046,-0.333333333,-0.573033708,-0.420289855,3
-1,-0.438016529,-0.683544304,-0.662650602,-0.576687117,-0.84717608,-0.625,-0.082949309,-0.556969346,-0.379844961,-0.820224719,-0.710144928,5
