type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,-0.421487603,0.056962025,-0.963855422,-0.95398773,-0.724252492,-0.9375,-0.940092166,-0.634085213,0.03875969,-0.719101124,-0.536231884,1
-1,-0.388429752,-0.670886076,-0.289156627,-0.656441718,-0.877076412,-0.604166667,-0.271889401,-0.574705996,-0.302325581,-0.730337079,-0.739130435,1
-1,-0.603305785,-0.620253165,-0.614457831,-0.978527607,-0.850498339,-0.819444444,-0.184331797,-0.78600347,-0.100775194,-0.764044944,-0.391304348,1
-1,-0.504132231,-0.797468354,-0.56626506,-0.978527607,-0.916943522,-0.784722222,-0.576036866,-0.866203971,-0.534883721,-0.595505618,-0.043478261,2
1,-0.239669421,-0.196202532,-0.56626506,-0.957055215,-0.734219269,-0.902777778,-0.774193548,-0.60131097,-0.085271318,-0.606741573,-0.304347826,1
1,0.041322314,-0.430379747,-0.722891566,-0.960122699,-0.757475083,-0.9375,-0.944700461,-0.590129169,-0.224806202,-0.516853933,-0.623188406,2
-1,-0.636363636,-0.797468354,-0.638554217,-0.812883436,-0.887043189,-0.708333333,-0.322580645,-0.691922113,0.410852713,-0.730337079,-0.246376812,1
-1,-0.404958678,-0.759493671,-0.493975904,-0.82208589,-0.80730897,-0.736111111,-0.050691244,-0.66493156,-0.100775194,-0.876404494,-0.536231884,2
1,-0.305785124,-0.094936709,-0.734939759,-0.947852761,-0.780730897,-0.916666667,-0.65437788,-0.623288992,-0.19379845,-0.640449438,-0.565217391,2
-1,-0.58677686,-0.481012658,-0.78313253,-0.911042945,-0.940199336,-0.847222222,-0.525345622,-0.881627145,-0.03875969,-0.640449438,0.391304348,2
-1,-0.355371901,-0.620253165,-0.493975904,-0.579754601,-0.880398671,-0.694444444,-0.046082949,-0.53769038,-0.286821705,-0.539325843,-0.652173913,1
1,-0.256198347,-0.64556962,-0.421686747,-0.95398773,-0.720930233,-0.965277778,-0.97235023,-0.731251205,-0.162790698,-0.550561798,0.275362319,2
-1,-0.272727273,-0.53164557,-0.228915663,-0.59202454,-0.887043189,-0.854166667,-0.239631336,-0.551956815,-0.581395349,-0.348314607,-0.623188406,1
-1,-0.289256198,-0.746835443,-0.56626506,-0.720858896,-0.88372093,-0.569444444,-0.281105991,-0.61866204,-0.410852713,-0.730337079,-0.420289855,2
-1,-0.520661157,-0.670886076,-0.65060241,-0.840490798,-0.946843854,-0.826388889,-0.686635945,-0.776749566,-0.131782946,-0.651685393,-0.130434783,2
-1,-0.272727273,-0.670886076,-0.469879518,-0.978527607,-0.877076412,-0.958333333,-0.709677419,-0.718912666,-0.348837209,-0.550561798,-0.362318841,1
-1,-0.685950413,-0.575949367,-0.590361446,-0.987730061,-0.897009967,-0.916666667,-0.225806452,-0.811451706,-0.147286822,-0.505617978,-0.420289855,1
-1,-0.157024793,-0.734177215,-0.554216867,-0.981595092,-0.936877076,-0.868055556,-0.599078341,-0.794486216,-0.255813953,-0.831460674,0.014492754,1
-1,-0.73553719,-0.765822785,-0.771084337,-0.800613497,-0.870431894,-0.756944444,-0.520737327,-0.719683825,-0.162790698,-0.786516854,-0.565217391,2
-1,-0.438016529,-0.696202532,-0.65060241,-0.926380368,-0.910299003,-0.888888889,-0.488479263,-0.730094467,-0.007751938,-0.483146067,-0.391304348,2
1,-0.454545455,-0.050632911,-0.987951807,-0.950920245,-0.833887043,-0.930555556,-0.944700461,-0.795257374,0.03875969,-0.797752809,0.391304348,2
-1,-0.504132231,-0.746835443,-0.56626506,-0.969325153,-0.936877076,-0.958333333,-0.815668203,-0.82109119,-0.240310078,-0.573033708,-0.15942029,2
1,-0.570247934,0.094936709,-0.963855422,-0.920245399,-0.794019934,-0.819444444,-0.760368664,-0.695777906,0.379844961,-0.696629213,0.362318841,2
-1,-0.438016529,-0.696202532,-0.674698795,-0.975460123,-0.903654485,-0.791666667,-0.465437788,-0.784461153,-0.333333333,-0.730337079,-0.333333333,2
-1,-0.454545455,-0.544303797,-0.759036145,-0.969325153,-0.129568106,-0.840277778,-0.382488479,-0.75130133,-0.395348837,-0.539325843,-0.47826087,1
1,-0.190082645,-0.14556962,-0.879518072,-0.969325153,-0.73089701,-0.979166667,-0.976958525,-0.60131097,-0.085271318,-0.516853933,-0.550724638,1
-1,-0.404958678,-0.582278481,-0.469879518,-0.785276074,-0.863787375,-0.729166667,0.01843318,-0.626759206,-0.379844961,-0.662921348,-0.710144928,1
-1,-0.355371901,-0.620253165,-0.590361446,-0.981595092,-0.870431894,-0.979166667,-0.479262673,-0.856178909,-0.286821705,-0.865168539,0.188405797,2
-1,-0.388429752,-0.696202532,-0.65060241,-0.984662577,-0.877076412,-0.770833333,-0.640552995,-0.880855986,-0.503875969,-0.808988764,0,2
-1,-0.305785124,-0.683544304,-0.409638554,-0.742331288,-0.88372093,-0.791666667,-0.175115207,-0.580104106,-0.03875969,-0.696629213,-0.420289855,2
-1,-0.504132231,-0.683544304,-0.638554217,-0.656441718,-0.887043189,-0.638888889,-0.414746544,-0.686524002,-0.519379845,-0.595505618,-0.304347826,2
-1,-0.487603306,-0.607594937,-0.614457831,-0.981595092,-0.950166113,-0.868055556,-0.262672811,-0.808367072,-0.488372093,-0.640449438,-0.47826087,2
-1,-0.438016529,-0.670886076,-0.710843373,-0.803680982,-0.953488372,-0.875,-0.428571429,-0.82070561,-0.348837209,-0.696629213,0.391304348,2
-1,-0.454545455,-0.506329114,-0.530120482,-0.67791411,-0.916943522,-0.833333333,-0.087557604,-0.651050704,-0.488372093,-0.662921348,-0.420289855,2
1,-0.487603306,-0.481012658,-0.602409639,-0.950920245,-0.760797342,-0.854166667,-0.861751152,-0.6996337,0.069767442,-0.404494382,-0.101449275,2
-1,-0.305785124,-0.721518987,-0.493975904,-0.570552147,-0.88372093,-0.694444444,-0.276497696,-0.49142086,-0.240310078,-0.471910112,-0.826086957,2
-1,-0.47107438,-0.556962025,-0.626506024,-0.963190184,-0.800664452,-0.902777778,-0.281105991,-0.718912666,-0.286821705,-0.719101124,-0.594202899,1
-1,-0.47107438,-0.594936709,-0.590361446,-0.978527607,-0.890365449,-0.868055556,-0.709677419,-0.842298053,-0.085271318,-0.516853933,0.15942029,2
-1,-0.570247934,-0.632911392,-0.78313253,-0.558282209,-0.897009967,-0.861111111,-0.493087558,-0.604781184,-0.348837209,-0.685393258,-0.652173913,1
-1,-0.487603306,-0.734177215,-0.253012048,-0.825153374,-0.890365449,-0.958333333,-0.525345622,-0.750530172,-0.627906977,-0.584269663,-0.362318841,2
-1,-0.404958678,-0.734177215,-0.638554217,-0.76993865,-0.873754153,-0.916666667,-0.502304147,-0.730480046,-0.379844961,-0.853932584,-0.275362319,2
-1,-0.719008264,-0.810126582,-0.614457831,-0.588957055,-0.926910299,-0.895833333,-0.571428571,-0.720069404,-0.162790698,-0.820224719,0.014492754,2
