index,fixed acidity,volatile acidity,citric acid,total sulfur dioxide,pH,sulphates,alcohol,quality
0,7.0,0.27,0.36,170.0,3.0,0.45,8.8,6
1,6.3,0.3,0.34,132.0,3.3,0.49,9.5,6
2,8.1,0.28,0.4,97.0,3.26,0.44,10.1,6
3,7.2,0.23,0.32,186.0,3.19,0.4,9.9,6
4,7.2,0.23,0.32,186.0,3.19,0.4,9.9,6
5,8.1,0.28,0.4,97.0,3.26,0.44,10.1,6
6,6.2,0.32,0.16,136.0,3.18,0.47,9.6,6
7,7.0,0.27,0.36,170.0,3.0,0.45,8.8,6
8,6.3,0.3,0.34,132.0,3.3,0.49,9.5,6
9,8.1,0.22,0.43,129.0,3.22,0.45,11.0,6
10,8.1,0.27,0.41,63.0,2.99,0.56,12.0,5
11,8.6,0.23,0.4,109.0,3.14,0.53,9.7,5
12,7.9,0.18,0.37,75.0,3.18,0.63,10.8,5
13,6.6,0.16,0.4,143.0,3.54,0.52,12.4,7
14,8.3,0.42,0.62,172.0,2.98,0.67,9.7,5
15,6.6,0.17,0.38,112.0,3.25,0.55,11.4,7
16,6.3,0.48,0.04,99.0,3.24,0.36,9.6,6
17,,0.66,0.48,75.0,3.33,0.39,12.8,8
18,7.4,0.34,0.42,171.0,3.12,0.53,11.3,6
19,6.5,0.31,0.14,133.0,3.22,0.5,9.5,5
20,6.2,0.66,0.48,75.0,3.33,0.39,12.8,8
21,6.4,0.31,0.38,102.0,3.17,0.35,11.0,7
22,6.8,0.26,0.42,122.0,3.47,0.48,10.5,8
23,7.6,0.67,0.14,168.0,3.05,0.51,9.3,5
24,6.6,0.27,0.41,142.0,3.42,0.47,10.0,6
25,7.0,0.25,0.32,245.0,3.25,0.5,10.4,6
26,6.9,0.24,0.35,146.0,3.45,0.44,10.0,6
27,7.0,0.28,0.39,141.0,3.38,0.53,10.5,6
28,7.4,0.27,0.48,132.0,3.19,0.49,11.6,6
29,7.2,0.32,0.36,114.0,3.1,0.71,12.3,7
30,8.5,0.24,0.39,142.0,3.2,0.53,10.0,6
31,8.3,0.14,0.34,47.0,3.47,0.4,10.2,6
32,7.4,0.25,0.36,100.0,3.19,0.44,10.8,6
33,6.2,0.12,0.34,117.0,3.42,0.51,9.0,6
34,5.8,0.27,0.2,179.0,3.37,0.37,10.2,5
35,7.3,0.28,0.43,123.0,3.19,0.42,12.8,5
36,6.5,0.39,0.23,149.0,3.24,0.35,10.0,5
37,7.0,0.33,0.32,138.0,3.13,0.28,11.2,6
38,7.3,0.24,0.39,149.0,3.21,0.36,8.6,5
39,7.3,0.24,0.39,149.0,3.21,0.36,8.6,5
40,6.7,0.23,0.39,158.0,3.11,0.36,9.4,6
41,6.7,0.24,0.39,157.0,3.1,0.34,9.4,6
42,7.0,0.31,0.26,160.0,3.13,0.46,9.8,6
43,6.6,0.24,0.27,152.0,3.22,0.56,9.5,6
44,6.7,0.23,0.26,154.0,3.24,0.56,9.5,6
45,7.4,0.18,0.31,167.0,3.16,0.53,10.0,7
46,6.2,0.45,0.26,206.0,3.27,0.52,9.8,4
47,6.2,0.46,0.25,207.0,3.25,0.52,9.8,5
48,7.0,0.31,0.26,160.0,3.13,0.46,9.8,6
49,6.9,0.19,0.35,150.0,3.36,0.48,9.8,5
50,7.2,0.19,0.31,173.0,3.35,0.44,11.7,6
51,6.6,0.25,0.29,124.0,3.34,0.58,11.0,7
52,6.2,0.16,0.33,82.0,3.32,0.46,10.9,7
